len,std_min,std_max,std_mean,std_std,parse_integer_no_simd_min,parse_integer_no_simd_max,parse_integer_no_simd_mean,parse_integer_no_simd_std,std_delimeter_min,std_delimeter_max,std_delimeter_mean,std_delimeter_std,parse_integer_no_simd_delimeter_min,parse_integer_no_simd_delimeter_max,parse_integer_no_simd_delimeter_mean,parse_integer_no_simd_delimeter_std,parse_integer_simd_delimeter_min,parse_integer_simd_delimeter_max,parse_integer_simd_delimeter_mean,parse_integer_simd_delimeter_std,
1,31,50071,35.0611,164.1412,29,52719,33.2889,190.8930,47,62124,55.8253,359.4584,29,57277,34.9929,289.5036,31,51318,38.0432,203.1892,
2,33,65955,39.4361,251.1766,31,58611,37.3059,311.1592,51,61974,56.2294,197.9613,31,5567,34.0048,15.1116,33,57580,38.8740,175.5720,
3,35,56409,41.8618,285.0551,33,55986,37.8086,230.1362,55,47539,60.6198,106.4384,33,66919,37.3096,251.3416,33,68503,41.8455,319.3825,
4,39,53584,45.1179,312.8157,33,97327,40.5069,296.0869,59,58742,67.8182,291.2982,35,40134,38.7964,119.8799,33,39607,41.3046,39.9971,
5,41,54016,46.4166,187.1595,35,54938,41.7951,259.9593,65,68704,74.2002,320.5178,37,40809,39.6682,42.5497,36,56492,46.1445,233.3950,
6,43,46016,48.9480,74.3008,39,39842,42.1150,50.0352,69,62297,75.9757,63.1898,39,48824,41.6467,112.1715,35,39889,44.5855,43.9056,
7,49,46082,51.6005,121.2759,41,39863,44.1921,138.0532,75,69051,85.9540,416.2005,41,69493,46.5518,347.1261,36,62727,48.8035,373.3276,
8,51,63215,58.9167,343.8309,41,62338,47.8171,312.1192,81,56817,87.2481,188.1645,41,63048,49.4835,340.1218,37,49254,44.8913,314.7766,
9,57,62449,64.7988,398.3192,43,61054,51.2545,375.0761,87,59085,100.5496,545.0274,43,61341,47.8264,163.7204,37,46365,47.5269,221.4048,
10,59,58379,65.1308,249.0106,45,58084,49.8709,215.2915,91,59551,97.7472,217.5275,45,62461,51.1948,282.7571,39,70046,50.2516,306.2439,
